Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

R1455      0603W          9862.5mil       4935mil       9830mil       4935mil       9830mil       4935mil  T        360.00 150R      
VR1203     0603W            7115mil     5232.5mil       7115mil       5265mil       7115mil       5265mil  T        270.00 VC060303A100
C222       3216T            7450mil       2710mil       7395mil       2710mil       7395mil       2710mil  T        180.00 10uF      
C1400      1206T           10540mil     4237.5mil      10540mil       4170mil      10540mil       4170mil  T         90.00 10uF      
C1401      0603W           10470mil     4017.5mil      10470mil       3985mil      10470mil       3985mil  T         90.00 0.1uF     
L1400      0805T           10540mil       4030mil      10540mil       4075mil      10540mil       4075mil  T        270.00 MMZ2012Y202B
OSC1400    CSX750          10275mil   4067.323mil      10375mil       4150mil      10375mil       4150mil  T        270.00 CSX750PBB50.000000
R1407      0603W         10042.5mil       3960mil      10010mil       3960mil      10010mil       3960mil  T        360.00 33R       
R1086      0603W            9015mil     2432.5mil       9015mil       2400mil       9015mil       2400mil  T         90.00 33R       
R1085      0603W            9010mil     2562.5mil       9010mil       2530mil       9010mil       2530mil  T         90.00 33R       
R1084      0603W            8945mil     2432.5mil       8945mil       2400mil       8945mil       2400mil  T         90.00 33R       
C1031      0603W            8575mil     3307.5mil       8575mil       3340mil       8575mil       3340mil  T        270.00 10nF      
R203       0603W          9272.5mil       4270mil       9305mil       4270mil       9305mil       4270mil  T        180.00 43k       
C226       3216T            8960mil       2235mil       8960mil       2290mil       8960mil       2290mil  T         90.00 10uF      
C225       3216T           10109mil       3815mil      10054mil       3815mil      10054mil       3815mil  T        180.00 10uF      
C224       3216T            9765mil       2400mil       9765mil       2455mil       9765mil       2455mil  T         90.00 10uF      
C220       3216T           10535mil       2280mil      10535mil       2225mil      10535mil       2225mil  T        270.00 10uF      
C219       3216T            9805mil       1195mil       9860mil       1195mil       9860mil       1195mil  T        360.00 10uF      
C217       3216T           10225mil       2895mil      10225mil       2950mil      10225mil       2950mil  T         90.00 10uF      
C216       3216T            8520mil       3415mil       8575mil       3415mil       8575mil       3415mil  T        360.00 10uF      
R1012      0603W          8347.5mil       3945mil       8380mil       3945mil       8380mil       3945mil  T        180.00 1k        
R1011      0603W          8347.5mil       3730mil       8380mil       3730mil       8380mil       3730mil  T        180.00 1k        
R1010      0603W          8347.5mil       3670mil       8380mil       3670mil       8380mil       3670mil  T        180.00 1k        
R1009      0603W          8472.5mil       3910mil       8505mil       3910mil       8505mil       3910mil  T        180.00 10k       
R1008      0603W          8347.5mil       3875mil       8380mil       3875mil       8380mil       3875mil  T        180.00 10k       
R1007      0603W          8472.5mil       3840mil       8505mil       3840mil       8505mil       3840mil  T        180.00 10k       
R1006      0603W          8347.5mil       3805mil       8380mil       3805mil       8380mil       3805mil  T        180.00 10k       
C206       0805T            9210mil       4340mil       9165mil       4340mil       9165mil       4340mil  T        360.00 1uF       
C209       D6.3             9620mil   4415.236mil       9620mil       4305mil       9620mil       4305mil  T         90.00 220uF/6.3V, ESR=0.36
C214       D6.3             8980mil   4425.236mil       8980mil       4315mil       8980mil       4315mil  T         90.00 220uF/6.3V, ESR=0.36
U203       HTSSOP20     9305.157mil   4548.937mil       9190mil       4420mil       9190mil       4420mil  T         90.00 TPS75218QPWP
X1000      CM200S      10332.008mil   3723.268mil      10395mil       3615mil      10395mil       3615mil  T        180.00 CM200S32.768KDZFT
X1001      CS10            10390mil   3398.543mil      10390mil       3495mil      10390mil       3495mil  T        270.00 CS10-18.432MABJTR
C1001      0603W         10042.5mil       3340mil      10075mil       3340mil      10075mil       3340mil  T        180.00 0.1uF     
C1004      0603W         10117.5mil       3550mil      10085mil       3550mil      10085mil       3550mil  T        360.00 0.1uF     
C1005      0603W         10057.5mil       3460mil      10025mil       3460mil      10025mil       3460mil  T        360.00 0.1uF     
C1006      0603W          9587.5mil       4015mil       9620mil       4015mil       9620mil       4015mil  T        180.00 0.1uF     
C1007      0603W          8522.5mil       2890mil       8555mil       2890mil       8555mil       2890mil  T        180.00 0.1uF     
C1008      0603W            9405mil     2557.5mil       9405mil       2590mil       9405mil       2590mil  T        270.00 0.1uF     
C1009      0603W          9987.5mil       3175mil       9955mil       3175mil       9955mil       3175mil  T        360.00 0.1uF     
C1010      0603W            8585mil     3577.5mil       8585mil       3610mil       8585mil       3610mil  T        270.00 0.1uF     
C1011      0603W          8562.5mil       3015mil       8595mil       3015mil       8595mil       3015mil  T        180.00 0.1uF     
C1012      0603W            9610mil     2552.5mil       9610mil       2585mil       9610mil       2585mil  T        270.00 0.1uF     
C1013      0603W            9365mil     4032.5mil       9365mil       4000mil       9365mil       4000mil  T         90.00 0.1uF     
C1014      0603W            8900mil     2607.5mil       8900mil       2640mil       8900mil       2640mil  T        270.00 0.1uF     
C1015      0603W            9295mil     2562.5mil       9295mil       2595mil       9295mil       2595mil  T        270.00 0.1uF     
C1016      0603W          8982.5mil       4020mil       9015mil       4020mil       9015mil       4020mil  T        180.00 0.1uF     
C1017      0603W          8522.5mil       3725mil       8555mil       3725mil       8555mil       3725mil  T        180.00 0.1uF     
C1018      0603W          9997.5mil       3280mil       9965mil       3280mil       9965mil       3280mil  T        360.00 0.1uF     
C1019      0603W            9950mil     3627.5mil       9950mil       3595mil       9950mil       3595mil  T         90.00 0.1uF     
C1020      0603W            8475mil     3307.5mil       8475mil       3340mil       8475mil       3340mil  T        270.00 0.1uF     
C1021      0603W         10042.5mil       2950mil      10010mil       2950mil      10010mil       2950mil  T        360.00 0.1uF     
C1022      0603W            9710mil     4082.5mil       9710mil       4050mil       9710mil       4050mil  T         90.00 0.1uF     
C1023      0603W           10210mil     3257.5mil      10210mil       3290mil      10210mil       3290mil  T        270.00 5.6nF     
C1024      0603W           10290mil     3342.5mil      10290mil       3375mil      10290mil       3375mil  T        270.00 10pF      
C1025      0603W           10290mil     3472.5mil      10290mil       3440mil      10290mil       3440mil  T         90.00 10pF      
C1026      0603W           10200mil     3647.5mil      10200mil       3615mil      10200mil       3615mil  T         90.00 10pF      
C1027      0603W           10145mil     3257.5mil      10145mil       3290mil      10145mil       3290mil  T        270.00 680pF     
C1028      0603W         10082.5mil       3745mil      10050mil       3745mil      10050mil       3745mil  T        360.00 4.7nF     
C1029      0603W           10115mil     3647.5mil      10115mil       3615mil      10115mil       3615mil  T         90.00 470pF     
C1030      0603W           10465mil     3647.5mil      10465mil       3615mil      10465mil       3615mil  T         90.00 10pF      
C1101      0603W           10540mil     1777.5mil      10540mil       1745mil      10540mil       1745mil  T         90.00 15pF      
C1102      0603W            9680mil     1857.5mil       9680mil       1890mil       9680mil       1890mil  T        270.00 0.1uF     
C1103      0603W            9680mil     1682.5mil       9680mil       1715mil       9680mil       1715mil  T        270.00 0.1uF     
C1104      0603W          9002.5mil       1815mil       9035mil       1815mil       9035mil       1815mil  T        180.00 0.1uF     
C1105      0603W          9162.5mil       2115mil       9195mil       2115mil       9195mil       2115mil  T        180.00 0.1uF     
C1106      0603W          9017.5mil       2000mil       9050mil       2000mil       9050mil       2000mil  T        180.00 0.1uF     
C1107      0603W          9057.5mil       1645mil       9090mil       1645mil       9090mil       1645mil  T        180.00 0.1uF     
C1108      0603W            9090mil     1277.5mil       9090mil       1245mil       9090mil       1245mil  T         90.00 0.1uF     
C1109      0603W           10480mil     2112.5mil      10480mil       2145mil      10480mil       2145mil  T        270.00 0.1uF     
C1110      0603W            9890mil     1952.5mil       9890mil       1920mil       9890mil       1920mil  T         90.00 0.1uF     
C1111      0603W          9907.5mil       2365mil       9940mil       2365mil       9940mil       2365mil  T        180.00 0.1uF     
C1112      0603W            9890mil     2217.5mil       9890mil       2250mil       9890mil       2250mil  T        270.00 0.1uF     
C1113      0603W            9890mil     2087.5mil       9890mil       2055mil       9890mil       2055mil  T         90.00 0.1uF     
C1114      0603W           10480mil     1937.5mil      10480mil       1970mil      10480mil       1970mil  T        270.00 0.1uF     
C1115      0603W          9857.5mil       1495mil       9890mil       1495mil       9890mil       1495mil  T        180.00 0.1uF     
C1116      0603W            8380mil     2437.5mil       8380mil       2405mil       8380mil       2405mil  T         90.00 0.1uF     
C1117      0603W          8397.5mil       1435mil       8430mil       1435mil       8430mil       1435mil  T        180.00 0.1uF     
R1004      0603W         10177.5mil       3355mil      10145mil       3355mil      10145mil       3355mil  T        360.00 1.27k     
R1005      0603W           10050mil     3647.5mil      10050mil       3615mil      10050mil       3615mil  T         90.00 1.96k     
R1106      0603W            8680mil     1472.5mil       8680mil       1440mil       8680mil       1440mil  T         90.00 1k        
R1105      0603W           10480mil     1777.5mil      10480mil       1810mil      10480mil       1810mil  T        270.00 62R       
D1000      SOD110       9562.401mil       4140mil       9525mil       4140mil       9525mil       4140mil  T        360.00 BAT254    
C1081      1206T          8437.5mil       3590mil       8505mil       3590mil       8505mil       3590mil  T        180.00 10uF      
C1082      1206T         10097.5mil       3090mil      10165mil       3090mil      10165mil       3090mil  T        180.00 10uF      
U1100      TSSOP48      8408.622mil   1894.173mil       8635mil       2280mil       8635mil       2280mil  T        270.00 TC58FVM6B5BTG65
U1102      TSOPII54    10186.654mil   1905.551mil       9965mil       2315mil       9965mil       2315mil  T        360.00 K4S561632H-UC75
U1101      TSOPII54     9386.654mil   1650.551mil       9165mil       2060mil       9165mil       2060mil  T        360.00 K4S561632H-UC75
R1123      0603W            7485mil      807.5mil       7485mil        775mil       7485mil        775mil  T         90.00 10k       
C1124      0603W          7642.5mil        835mil       7610mil        835mil       7610mil        835mil  T        360.00 0.1uF     
C1123      0603W        7656.053mil   1768.553mil   7623.553mil   1768.553mil   7623.553mil   1768.553mil  T        360.00 0.1uF     
M106       FIDUCIAL-MARK      12695mil       6320mil      12695mil       6320mil      12695mil       6320mil  T          0.00 Fiducial  
M104       FIDUCIAL-MARK        465mil       6310mil        465mil       6310mil        465mil       6310mil  T          0.00 Fiducial  
C218       3216T        7678.553mil   1881.447mil   7623.553mil   1881.447mil   7623.553mil   1881.447mil  T        180.00 10uF      
M100       4LAYER-PCB      -5000mil      -4000mil       9115mil        525mil      -5000mil      -4000mil  T        360.00 DEX28 XPU-D R1A
R1021      0603W          8317.5mil       4185mil       8350mil       4185mil       8350mil       4185mil  T        180.00 150R      
C223       3216T            7650mil        765mil       7595mil        765mil       7595mil        765mil  T        180.00 10uF      
M101       MBK_4           -5000mil      -4000mil      12792mil       4538mil      -5000mil      -4000mil  T        270.00 Copyright 
D1002      LED-0805         6605mil       6685mil       6605mil       6735mil       6605mil       6735mil  T        270.00 EL17-21USRC
C1453      0603W           10135mil     6157.5mil      10135mil       6190mil      10135mil       6190mil  T        270.00 0.1uF     
C1450      0603W           10195mil     6157.5mil      10195mil       6190mil      10195mil       6190mil  T        270.00 0.1uF     
J1201      FRJA-418         9355mil       6645mil       9355mil       6760mil       9530mil       6510mil  T        180.00 FRJA-418  
C221       3216T            8435mil   4409.756mil       8380mil   4409.756mil       8380mil   4409.756mil  T        180.00 10uF      
C215       3216T            6140mil       6680mil       6140mil       6735mil       6140mil       6735mil  T         90.00 10uF      
J1400      RJ45_J0026D21      10165mil     6576.5mil      10165mil       6655mil      10340mil       6405mil  T        360.00 J0026D21BNL
U1200      TSSOP16      8463.071mil   4644.323mil       8580mil   4554.756mil       8580mil   4554.756mil  T        180.00 ADM3202ARU
R1202      0603W            9315mil     6142.5mil       9315mil       6110mil       9315mil       6110mil  T         90.00 470R      
R1200      0603W            9395mil     6142.5mil       9395mil       6110mil       9395mil       6110mil  T         90.00 470R      
C1204      0805T            8600mil   4489.756mil       8645mil   4489.756mil       8645mil   4489.756mil  T        180.00 1uF       
C1203      0805T            8425mil   4489.756mil       8470mil   4489.756mil       8470mil   4489.756mil  T        180.00 1uF       
C1202      0805T            8275mil   4554.756mil       8275mil   4599.756mil       8275mil   4599.756mil  T        270.00 1uF       
C1201      0805T        8740.244mil       4700mil   8695.244mil       4700mil   8695.244mil       4700mil  T        360.00 1uF       
C1200      0805T            8740mil   4613.756mil       8785mil   4613.756mil       8785mil   4613.756mil  T        180.00 1uF       
C1232      3216T            7290mil       3040mil       7235mil       3040mil       7235mil       3040mil  T        180.00 10uF      
C302       1206T            5810mil     1902.5mil       5810mil       1970mil       5810mil       1970mil  T        270.00 10uF      
C1231      0603W          7267.5mil       2850mil       7235mil       2850mil       7235mil       2850mil  T        360.00 0.1uF     
OSC300     CSX750       5542.677mil       1870mil       5460mil       1970mil       5460mil       1970mil  T        360.00 CSX750PBB16.384000
L300       0805T            5760mil       2060mil       5805mil       2060mil       5805mil       2060mil  T        180.00 MI0805K601R-00
C300       0603W            5705mil     1957.5mil       5705mil       1990mil       5705mil       1990mil  T        270.00 0.1uF     
R100       0603W            7635mil     2812.5mil       7635mil       2845mil       7635mil       2845mil  T        270.00 10k       
R101       0603W            7735mil     2812.5mil       7735mil       2845mil       7735mil       2845mil  T        270.00 10k       
R102       0603W            7435mil     2812.5mil       7435mil       2845mil       7435mil       2845mil  T        270.00 10k       
R103       0603W            7535mil     2812.5mil       7535mil       2845mil       7535mil       2845mil  T        270.00 10k       
R315       0603W          5757.5mil       1745mil       5725mil       1745mil       5725mil       1745mil  T        360.00 62R       
U202       HTSSOP20     5890.158mil   2773.937mil       5775mil       2645mil       5775mil       2645mil  T         90.00 TPS75225QPWP
R201       0603W          5832.5mil       2475mil       5865mil       2475mil       5865mil       2475mil  T        180.00 43k       
C208       D6.3         6090.236mil       2450mil       5980mil       2450mil       5980mil       2450mil  T        360.00 220uF/6.3V, ESR=0.36
C205       0805T            5785mil       2560mil       5740mil       2560mil       5740mil       2560mil  T        360.00 1uF       
C213       D6.3             5555mil   2605.236mil       5555mil       2495mil       5555mil       2495mil  T         90.00 220uF/6.3V, ESR=0.36
C1205      0603W            9395mil     6272.5mil       9395mil       6240mil       9395mil       6240mil  T         90.00 1nF       
C1206      0603W            9315mil     6272.5mil       9315mil       6240mil       9315mil       6240mil  T         90.00 1nF       
R1408      0603W         10042.5mil       4020mil      10010mil       4020mil      10010mil       4020mil  T        360.00 33R       
C232       1812T            9020mil     5737.5mil       9020mil       5645mil       9020mil       5645mil  T         90.00 1nF/2kV   
C233       1812T            9625mil     5972.5mil       9625mil       5880mil       9625mil       5880mil  T         90.00 1nF/2kV   
C230       1812T            7515mil     5742.5mil       7515mil       5650mil       7515mil       5650mil  T         90.00 1nF/2kV   
R1015      0603W            8070mil     2972.5mil       8070mil       2940mil       8070mil       2940mil  T         90.00 1k        
